Date,Forecast
2018-01-31,59085.625
2018-02-28,59124.582
2018-03-31,53081.434
2018-04-30,50195.82
2018-05-31,49473.867
2018-06-30,48665.875
2018-07-31,48297.6
2018-08-31,48139.496
2018-09-30,48027.426
2018-10-31,47973.88
2018-11-30,47946.65
2018-12-31,47930.47
